m/z,intensity
1249.151900,1.40560000e+04
1249.152000,4.03200000e+03
1249.152100,5.12800000e+03
1249.152200,4.76300000e+03
1249.152600,1.02430000e+04
1249.152700,7.62800000e+03
1249.152800,4.22300000e+03
1249.152900,4.31100000e+03
1249.153000,8.09000000e+03
1249.153100,3.52700000e+03
1249.153200,9.13200000e+03
1249.153600,3.79200000e+03
1249.154800,6.60600000e+03
1249.155400,2.81400000e+03
1249.155600,3.47600000e+03
1249.368600,6.03400000e+03
1249.368900,7.12200000e+03
1249.370100,6.58100000e+03
1249.371000,2.21160000e+04
1249.371100,6.02100000e+03
1249.371800,7.67400000e+03
1249.371900,4.38700000e+03
1249.372000,1.49530000e+04
1249.372100,6.80900000e+03
1249.372600,5.81300000e+03
1249.372700,1.27130000e+04
1249.372800,7.44000000e+03
1249.373200,1.18390000e+04
1249.373300,6.10200000e+03
1249.373500,4.05400000e+03
1249.373700,1.20250000e+04
1249.373900,1.12150000e+04
1249.374200,7.04900000e+03
1249.374400,6.33100000e+03
1249.374500,4.57700000e+03
1249.374700,5.53700000e+03
1249.375000,6.05500000e+03
1249.375100,6.35400000e+03
1249.375300,1.48060000e+04
1249.375400,6.99400000e+03
1249.375600,6.74900000e+03
1249.376100,8.33300000e+03
1249.376200,7.75600000e+03
1249.376300,7.74000000e+03
1249.378700,7.06500000e+03
1249.586300,5.66500000e+03
1249.589400,6.67100000e+03
1249.590400,6.92100000e+03
1249.590500,4.75000000e+03
1249.591000,6.48800000e+03
1249.593300,5.21500000e+03
1249.593500,7.05200000e+03
1249.594600,5.44400000e+03
1249.594900,5.53600000e+03
1249.595100,5.29900000e+03
1249.595800,6.05100000e+03
1249.598000,5.57000000e+03
1249.598700,5.59600000e+03
1249.598900,7.36900000e+03
1249.599100,5.48800000e+03
1249.599200,6.73600000e+03
1249.606100,5.27500000e+03
1249.809100,7.71100000e+03
1257.053700,2.63200000e+03
1257.055700,4.24000000e+03
1257.270200,9.68800000e+03
1257.274000,4.55300000e+03
1257.274700,5.20400000e+03
1257.495300,4.47100000e+03
1260.332200,1.60000000e+03
1260.543000,1.70800000e+03
1260.548500,4.04900000e+03
1441.269700,7.20200000e+03
1441.270200,4.01800000e+03
1441.270600,5.95700000e+03
1441.270800,4.70900000e+03
1441.270900,6.23900000e+03
1441.271100,1.78900000e+03
1441.271200,6.62300000e+03
1441.271500,1.26470000e+04
1441.271600,1.07680000e+04
1441.271900,7.28500000e+03
1441.272000,1.66680000e+04
1441.272200,6.35100000e+03
1441.272300,9.64200000e+03
1441.272400,8.08000000e+03
1441.272600,4.80500000e+03
1441.272700,6.15500000e+03
1441.272800,1.49800000e+04
1441.272900,4.96300000e+03
1441.273200,5.13000000e+03
1441.273400,8.12600000e+03
1441.273600,9.48000000e+02
1441.273700,1.08440000e+04
1441.273800,4.44100000e+03
1441.273900,7.26400000e+03
1441.274000,5.87500000e+03
1441.274200,4.49500000e+03
1441.274700,5.93900000e+03
1441.526100,4.34200000e+03
1441.526600,3.53600000e+03
1441.526900,1.42000000e+03
1441.527000,1.00430000e+04
1441.527100,3.28100000e+03
1441.527200,7.55200000e+03
1441.527300,9.76100000e+03
1441.527400,6.92600000e+03
1441.527500,7.74700000e+03
1441.527600,9.32000000e+02
1441.527800,3.73200000e+03
1441.527900,1.42680000e+04
1441.528000,8.74000000e+03
1441.528200,5.87900000e+03
1441.528300,5.57100000e+03
1441.528400,6.25200000e+03
1441.528500,5.54200000e+03
1441.528600,4.70800000e+03
1441.528700,7.69600000e+03
1441.529600,9.29000000e+03
1441.781700,1.28100000e+03
1441.781800,2.48200000e+03
1441.782100,4.09500000e+03
1441.782300,3.00800000e+03
1441.782400,3.45100000e+03
1441.782500,9.69000000e+02
1441.782700,2.10000000e+03
1441.782800,2.18000000e+03
1441.782900,1.06300000e+03
1441.783000,9.33000000e+02
1441.783100,2.88500000e+03
1441.783200,1.96600000e+03
1441.783300,1.43200000e+03
1441.783400,8.29900000e+03
1441.783500,2.19900000e+03
1441.783600,8.46000000e+02
1441.783700,7.70700000e+03
1441.783900,5.03200000e+03
