m/z,intensity
1250.921600,3.55000000e+03
1250.922000,8.89300000e+03
1250.924500,7.56200000e+03
1251.131400,5.65000000e+03
1251.132100,5.95400000e+03
1251.134400,3.30600000e+03
1251.134700,6.20000000e+03
1251.135100,4.20400000e+03
1251.135900,6.59000000e+03
1251.136000,7.75900000e+03
1251.136100,1.28670000e+04
1251.136800,1.22200000e+04
1251.137000,6.55500000e+03
1251.137300,4.41900000e+03
1251.137700,1.31170000e+04
1251.138100,3.89700000e+03
1251.138400,5.70500000e+03
1251.138500,4.81300000e+03
1251.138800,1.12870000e+04
1251.139200,4.06000000e+03
1251.139400,5.47600000e+03
1251.139500,4.33500000e+03
1251.139800,6.04800000e+03
1251.140000,6.83100000e+03
1251.140100,5.86400000e+03
1251.140200,4.25800000e+03
1251.140500,5.02000000e+03
1251.140600,4.77700000e+03
1251.141200,4.72400000e+03
1251.141300,7.06900000e+03
1251.141400,4.76200000e+03
1251.141700,6.73100000e+03
1251.142400,5.45000000e+03
1251.143500,5.70900000e+03
1251.145400,5.53500000e+03
1251.150700,5.84800000e+03
1251.355800,5.84100000e+03
1251.359700,5.52600000e+03
1251.359800,6.93500000e+03
1251.362000,5.02100000e+03
1251.362800,5.02000000e+03
1258.807600,3.90100000e+03
1258.807800,3.79300000e+03
1258.809100,4.68000000e+03
1258.809300,6.14000000e+03
1258.811500,4.60500000e+03
1262.299400,2.49200000e+03
1262.301200,6.29500000e+03
1397.242200,5.51400000e+03
1397.247200,5.96600000e+03
1397.247300,5.74300000e+03
1397.247400,2.82500000e+03
1397.249200,7.01000000e+03
1397.253600,2.20100000e+03
1397.505100,4.51700000e+03
1397.505300,3.16900000e+03
1397.508500,1.25700000e+03
1397.508700,4.25200000e+03
1397.509200,3.33800000e+03
1397.509700,2.93000000e+03
1397.509800,5.62200000e+03
1397.510000,5.62400000e+03
1397.510600,5.27000000e+03
1397.511900,1.19900000e+03
1397.512900,8.49700000e+03
1397.513000,3.41200000e+03
1397.513400,4.19300000e+03
1397.513500,8.58900000e+03
1397.514000,2.42700000e+03
1397.514300,1.54120000e+04
1397.515100,4.51600000e+03
1397.515400,3.09500000e+03
1397.516300,5.24400000e+03
1397.517300,4.55200000e+03
1397.518000,2.25900000e+03
1397.771500,3.32300000e+03
1397.771700,2.96000000e+03
1397.772000,2.93600000e+03
1397.772500,1.27100000e+03
1397.773500,6.63600000e+03
1397.774100,1.96600000e+03
1397.775000,3.61300000e+03
1397.775300,2.80100000e+03
1397.775500,3.61800000e+03
1397.775600,4.85400000e+03
1397.775800,4.62100000e+03
1397.776800,4.89500000e+03
1397.776900,1.67200000e+03
1397.777300,1.08500000e+03
1397.778100,1.93600000e+03
1397.784200,2.37800000e+03
1398.037500,2.34900000e+03
1398.041800,4.50000000e+02
1398.042200,1.90700000e+03
1443.053500,3.18800000e+03
1443.055300,2.94100000e+03
1443.057500,4.96700000e+03
1443.061700,4.06200000e+03
1443.062100,1.19900000e+03
1443.312000,5.33500000e+03
1443.312100,5.75200000e+03
1443.312300,3.85500000e+03
1443.312400,3.05600000e+03
1443.312500,2.69500000e+03
1443.312600,7.28200000e+03
1443.312800,9.01000000e+03
1443.313000,1.01120000e+04
1443.313100,2.59500000e+03
1443.313200,1.92800000e+03
1443.313300,2.02800000e+03
1443.313400,7.67000000e+03
1443.313500,5.46700000e+03
1443.313700,6.66000000e+03
1443.313800,9.32000000e+02
1443.313900,1.12900000e+03
1443.314000,2.98000000e+03
1443.314100,5.47500000e+03
1443.314300,1.65900000e+03
1443.314400,4.18300000e+03
1443.314800,1.70000000e+03
1443.314900,7.57000000e+02
1443.315000,3.94000000e+03
1443.315400,1.41100000e+03
1443.315500,6.87500000e+03
1443.567300,4.51500000e+03
1443.567500,1.39000000e+03
1443.567800,1.37500000e+03
1443.567900,1.12600000e+03
1443.568000,9.67000000e+02
1443.568200,3.54500000e+03
1443.568300,2.86800000e+03
1443.568500,6.89400000e+03
1443.568600,2.52200000e+03
1443.568700,2.86800000e+03
1443.568800,1.05210000e+04
1443.568900,1.51100000e+03
1443.569000,3.69300000e+03
1443.569100,2.58700000e+03
1443.569200,2.57800000e+03
1443.569300,7.42100000e+03
1443.569400,4.85900000e+03
1443.569500,4.36600000e+03
1443.569700,1.05500000e+03
1443.570100,1.30200000e+03
1443.570300,1.21800000e+03
1443.570400,1.07700000e+03
1443.821700,8.07000000e+02
1443.821900,1.04200000e+03
1443.822000,1.07500000e+03
1443.822100,9.65000000e+02
1443.822200,1.27900000e+03
1443.822400,1.14900000e+03
1443.822700,2.33900000e+03
1443.823200,2.24500000e+03
1443.823300,2.86000000e+03
1443.823400,4.37100000e+03
1443.823500,3.58700000e+03
1443.823600,9.57000000e+02
1443.823800,1.99200000e+03
1443.823900,2.07000000e+03
