m/z,intensity
2561.772000,1.05500000e+03
2561.798000,7.70000000e+01
2561.838000,3.97000000e+03
2561.856000,1.45800000e+03
2561.874000,1.03700000e+03
2561.986000,2.12000000e+02
2562.022000,1.56000000e+02
2562.040000,1.84600000e+03
2562.062000,1.00900000e+03
2562.078000,1.05100000e+03
2562.090000,8.87000000e+02
2562.262000,1.49400000e+03
2562.272000,1.57400000e+03
2562.294000,7.23000000e+02
2562.308000,2.55000000e+02
2562.352000,1.12400000e+03
2562.366000,1.47200000e+03
2562.604000,5.57000000e+02
2562.634000,3.16600000e+03
2562.636000,2.48000000e+02
2562.652000,2.38100000e+03
2562.654000,1.94900000e+03
2562.842000,1.74500000e+03
2562.862000,1.50100000e+03
2563.148000,1.27500000e+03
